"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,2.25177762595933e-60,659,1784,217,0.121636771300448,0.329286798179059,"GO:0031344","GO:BP","regulation of cell projection organization",18198,7392,"GO:0030030, GO:0051128"
"query_1",TRUE,2.77191438453326e-60,644,1784,214,0.119955156950673,0.332298136645963,"GO:0120035","GO:BP","regulation of plasma membrane bounded cell projection organization",18198,20034,"GO:0031344, GO:0120036"
"query_1",TRUE,1.62494367103484e-58,461,1784,175,0.0980941704035874,0.379609544468547,"GO:0007409","GO:BP","axonogenesis",18198,2939,"GO:0048667, GO:0048812, GO:0061564"
"query_1",TRUE,8.83629901085576e-58,245,1784,124,0.0695067264573991,0.506122448979592,"GO:0050803","GO:BP","regulation of synapse structure or activity",18198,13698,"GO:0065008"
"query_1",TRUE,1.2236298984792e-56,238,1784,121,0.0678251121076233,0.508403361344538,"GO:0050807","GO:BP","regulation of synapse organization",18198,13702,"GO:0050803, GO:0050808, GO:0051128"
"query_1",TRUE,1.81756723236966e-56,220,1784,116,0.0650224215246637,0.527272727272727,"GO:0099003","GO:BP","vesicle-mediated transport in synapse",18198,19549,"GO:0016192"
"query_1",TRUE,2.36020531284284e-55,452,1784,169,0.0947309417040359,0.373893805309735,"GO:0010975","GO:BP","regulation of neuron projection development",18198,4609,"GO:0031175, GO:0120035"
"query_1",TRUE,3.55294084944674e-55,522,1784,183,0.102578475336323,0.350574712643678,"GO:0061564","GO:BP","axon development",18198,16051,"GO:0031175"
"query_1",TRUE,9.25353734789904e-53,234,1784,116,0.0650224215246637,0.495726495726496,"GO:0016358","GO:BP","dendrite development",18198,5283,"GO:0031175, GO:0048856"
"query_1",TRUE,2.67700794491554e-50,198,1784,104,0.0582959641255605,0.525252525252525,"GO:0099504","GO:BP","synaptic vesicle cycle",18198,19651,"GO:0051649, GO:0099003"
"query_1",TRUE,2.58983233657623e-48,439,1784,157,0.0880044843049327,0.357630979498861,"GO:0034329","GO:BP","cell junction assembly",18198,8862,"GO:0022607, GO:0034330"
"query_1",TRUE,8.66900995401572e-47,196,1784,100,0.0560538116591928,0.510204081632653,"GO:0099173","GO:BP","postsynapse organization",18198,19632,"GO:0016043, GO:0050808"
"query_1",TRUE,8.02204421130248e-45,1913,1784,383,0.214686098654709,0.200209095661265,"GO:0051649","GO:BP","establishment of localization in cell",18198,14317,"GO:0051234, GO:0051641"
"query_1",TRUE,1.77010887226797e-44,1107,1784,266,0.149103139013453,0.240289069557362,"GO:0051130","GO:BP","positive regulation of cellular component organization",18198,13955,"GO:0016043, GO:0048522, GO:0051128"
"query_1",TRUE,3.16697881803271e-44,1501,1784,324,0.181614349775785,0.215856095936043,"GO:0016192","GO:BP","vesicle-mediated transport",18198,5229,"GO:0006810, GO:0009987"
"query_1",TRUE,1.16597901439027e-41,1985,1784,385,0.215807174887892,0.193954659949622,"GO:0032879","GO:BP","regulation of localization",18198,8155,"GO:0050789, GO:0051179"
"query_1",TRUE,4.27036063609919e-40,196,1784,93,0.0521300448430493,0.474489795918367,"GO:0007416","GO:BP","synapse assembly",18198,2945,"GO:0007399, GO:0034329, GO:0050808"
"query_1",TRUE,1.11302887371029e-38,141,1784,77,0.0431614349775785,0.546099290780142,"GO:0048813","GO:BP","dendrite morphogenesis",18198,13484,"GO:0016358, GO:0048667, GO:0048812"
"query_1",TRUE,2.70334806586315e-38,354,1784,126,0.070627802690583,0.355932203389831,"GO:0031346","GO:BP","positive regulation of cell projection organization",18198,7394,"GO:0030030, GO:0031344, GO:0051130"
"query_1",TRUE,4.47273011292296e-38,824,1784,209,0.117152466367713,0.253640776699029,"GO:0022603","GO:BP","regulation of anatomical structure morphogenesis",18198,6848,"GO:0009653, GO:0050793"
"query_1",TRUE,5.80234127118627e-38,952,1784,229,0.128363228699552,0.240546218487395,"GO:0044087","GO:BP","regulation of cellular component biogenesis",18198,11272,"GO:0044085, GO:0050794"
"query_1",TRUE,7.8557872447265e-37,789,1784,201,0.112668161434978,0.254752851711027,"GO:0030029","GO:BP","actin filament-based process",18198,6890,"GO:0009987"
"query_1",TRUE,1.04402353440493e-36,199,1784,90,0.0504484304932735,0.452261306532663,"GO:0048167","GO:BP","regulation of synaptic plasticity",18198,12984,"GO:0050804, GO:0065008"
"query_1",TRUE,1.21115401073948e-35,1009,1784,233,0.130605381165919,0.230921704658077,"GO:0007417","GO:BP","central nervous system development",18198,2946,"GO:0007399, GO:0048731"
"query_1",TRUE,1.65512194733209e-35,652,1784,176,0.0986547085201794,0.269938650306748,"GO:0007610","GO:BP","behavior",18198,3101,"GO:0032501"
"query_1",TRUE,3.80268883101031e-35,429,1784,136,0.0762331838565022,0.317016317016317,"GO:0042391","GO:BP","regulation of membrane potential",18198,10487,"GO:0065008"
"query_1",TRUE,9.72796676708088e-34,1570,1784,309,0.173206278026906,0.196815286624204,"GO:0051049","GO:BP","regulation of transport",18198,13898,"GO:0006810, GO:0032879"
"query_1",TRUE,1.72905209584858e-33,1820,1784,342,0.191704035874439,0.187912087912088,"GO:0141124","GO:BP","intracellular signaling cassette",18198,20599,"GO:0035556"
"query_1",TRUE,1.76672347738932e-33,1473,1784,295,0.165358744394619,0.200271554650373,"GO:0007010","GO:BP","cytoskeleton organization",18198,2653,"GO:0006996"
"query_1",TRUE,4.08001987849039e-33,703,1784,180,0.100896860986547,0.256045519203414,"GO:0030036","GO:BP","actin cytoskeleton organization",18198,6897,"GO:0007010, GO:0030029"
"query_1",TRUE,1.21621438431828e-32,456,1784,137,0.0767937219730942,0.300438596491228,"GO:0051960","GO:BP","regulation of nervous system development",18198,14484,"GO:0007399, GO:2000026"
"query_1",TRUE,1.250068484947e-32,92,1784,57,0.0319506726457399,0.619565217391304,"GO:0099072","GO:BP","regulation of postsynaptic membrane neurotransmitter receptor levels",18198,19580,"GO:0065008"
"query_1",TRUE,2.07858311604898e-30,95,1784,56,0.031390134529148,0.589473684210526,"GO:0060996","GO:BP","dendritic spine development",18198,15599,"GO:0016358, GO:0048856"
"query_1",TRUE,1.56509709436631e-29,910,1784,205,0.114910313901345,0.225274725274725,"GO:0098657","GO:BP","import into cell",18198,19355,"GO:0006810"
"query_1",TRUE,1.63754447368577e-29,286,1784,100,0.0560538116591928,0.34965034965035,"GO:0051962","GO:BP","positive regulation of nervous system development",18198,14486,"GO:0007399, GO:0051094, GO:0051240, GO:0051960"
"query_1",TRUE,2.81473158979484e-29,109,1784,59,0.0330717488789238,0.541284403669725,"GO:1902414","GO:BP","protein localization to cell junction",18198,22818,"GO:0008104"
"query_1",TRUE,2.86720028105221e-29,82,1784,51,0.0285874439461883,0.621951219512195,"GO:0036465","GO:BP","synaptic vesicle recycling",18198,9945,"GO:0006810, GO:0051649, GO:0099504"
"query_1",TRUE,4.9576068731033e-29,320,1784,106,0.0594170403587444,0.33125,"GO:0050890","GO:BP","cognition",18198,13769,"GO:0050877"
"query_1",TRUE,5.78910391933572e-29,103,1784,57,0.0319506726457399,0.553398058252427,"GO:0099175","GO:BP","regulation of postsynapse organization",18198,19634,"GO:0050807, GO:0099173"
"query_1",TRUE,7.65343250666501e-29,80,1784,50,0.0280269058295964,0.625,"GO:0035418","GO:BP","protein localization to synapse",18198,9332,"GO:1902414"
"query_1",TRUE,1.02525965406545e-28,713,1784,173,0.0969730941704036,0.242636746143057,"GO:0007420","GO:BP","brain development",18198,2949,"GO:0007417, GO:0048513, GO:0060322"
"query_1",TRUE,1.11808997452543e-28,494,1784,137,0.0767937219730942,0.277327935222672,"GO:0007264","GO:BP","small GTPase-mediated signal transduction",18198,2825,"GO:0141124"
"query_1",TRUE,1.27949569212758e-28,689,1784,169,0.0947309417040359,0.245283018867925,"GO:0051668","GO:BP","localization within membrane",18198,14335,"GO:0051641"
"query_1",TRUE,1.49204342649969e-28,278,1784,97,0.054372197309417,0.348920863309353,"GO:0007611","GO:BP","learning or memory",18198,3102,"GO:0007610, GO:0050890"
"query_1",TRUE,1.75935057031882e-28,1479,1784,283,0.158632286995516,0.191345503718729,"GO:0007155","GO:BP","cell adhesion",18198,2750,"GO:0009987"
"query_1",TRUE,2.44155213915314e-28,763,1784,180,0.100896860986547,0.235910878112713,"GO:0060322","GO:BP","head development",18198,15000,"GO:0048856"
"query_1",TRUE,3.07025049485815e-28,694,1784,169,0.0947309417040359,0.243515850144092,"GO:0006897","GO:BP","endocytosis",18198,2580,"GO:0016192, GO:0098657"
"query_1",TRUE,3.49177671588523e-28,148,1784,68,0.0381165919282511,0.459459459459459,"GO:0060078","GO:BP","regulation of postsynaptic membrane potential",18198,14802,"GO:0042391"
"query_1",TRUE,4.57542652118647e-28,1161,1784,238,0.133408071748879,0.204995693367786,"GO:0033043","GO:BP","regulation of organelle organization",18198,8278,"GO:0006996, GO:0051128"
"query_1",TRUE,5.29518772735002e-28,382,1784,116,0.0650224215246637,0.303664921465969,"GO:0050767","GO:BP","regulation of neurogenesis",18198,13670,"GO:0022008, GO:0051960, GO:0060284"
"query_1",TRUE,5.6171608477776e-28,73,1784,47,0.0263452914798206,0.643835616438356,"GO:0140238","GO:BP","presynaptic endocytosis",18198,20274,"GO:0006897, GO:0051649, GO:0099003"
"query_1",TRUE,9.65212143617113e-28,111,1784,58,0.0325112107623318,0.522522522522523,"GO:0035249","GO:BP","synaptic transmission, glutamatergic",18198,9228,"GO:0007268"
"query_1",TRUE,2.81317362089416e-27,372,1784,113,0.0633408071748879,0.303763440860215,"GO:0032535","GO:BP","regulation of cellular component size",18198,7905,"GO:0016043, GO:0090066"
"query_1",TRUE,3.68232699872441e-27,72,1784,46,0.0257847533632287,0.638888888888889,"GO:0048488","GO:BP","synaptic vesicle endocytosis",18198,13206,"GO:0036465, GO:0140238"
"query_1",TRUE,3.81374969717553e-27,1307,1784,256,0.143497757847534,0.195868400918133,"GO:0051094","GO:BP","positive regulation of developmental process",18198,13928,"GO:0032502, GO:0048518, GO:0050793"
"query_1",TRUE,1.37469631044888e-26,90,1784,51,0.0285874439461883,0.566666666666667,"GO:0106027","GO:BP","neuron projection organization",18198,19771,"GO:0120036"
"query_1",TRUE,1.9107709698181e-26,178,1784,73,0.0409192825112108,0.410112359550562,"GO:1990138","GO:BP","neuron projection extension",18198,25755,"GO:0048588, GO:0048812, GO:0060560"
"query_1",TRUE,2.35524680147574e-26,994,1784,210,0.117713004484305,0.211267605633803,"GO:0009894","GO:BP","regulation of catabolic process",18198,3792,"GO:0009056, GO:0019222"
"query_1",TRUE,3.32236040951259e-26,1325,1784,256,0.143497757847534,0.193207547169811,"GO:0046907","GO:BP","intracellular transport",18198,12847,"GO:0006810, GO:0051641, GO:0051649"
"query_1",TRUE,3.99341169053126e-26,231,1784,84,0.047085201793722,0.363636363636364,"GO:0048588","GO:BP","developmental cell growth",18198,13284,"GO:0016049, GO:0048468, GO:0048589"
"query_1",TRUE,7.39922365345271e-26,155,1784,67,0.0375560538116592,0.432258064516129,"GO:0050770","GO:BP","regulation of axonogenesis",18198,13673,"GO:0007409, GO:0010975, GO:0022603"
"query_1",TRUE,8.53548930235815e-26,656,1784,158,0.0885650224215247,0.240853658536585,"GO:1901699","GO:BP","cellular response to nitrogen compound",18198,22186,"GO:0070887, GO:1901698"
"query_1",TRUE,9.70966428393267e-26,143,1784,64,0.0358744394618834,0.447552447552448,"GO:0099643","GO:BP","signal release from synapse",18198,19734,"GO:0023061, GO:0099536"
"query_1",TRUE,9.70966428393267e-26,143,1784,64,0.0358744394618834,0.447552447552448,"GO:0007269","GO:BP","neurotransmitter secretion",18198,2830,"GO:0006836, GO:0007268, GO:0051649, GO:0099643"
"query_1",TRUE,1.63103725305145e-25,355,1784,107,0.0599775784753363,0.301408450704225,"GO:1990778","GO:BP","protein localization to cell periphery",18198,25951,"GO:0008104"
"query_1",TRUE,2.67173819028819e-25,1729,1784,307,0.172085201793722,0.177559282822441,"GO:1902531","GO:BP","regulation of intracellular signal transduction",18198,22895,"GO:0009966, GO:0035556"
"query_1",TRUE,4.283795853636e-25,65,1784,42,0.023542600896861,0.646153846153846,"GO:0097120","GO:BP","receptor localization to synapse",18198,19045,"GO:0031503"
"query_1",TRUE,7.79922086855057e-25,156,1784,66,0.0369955156950673,0.423076923076923,"GO:0007612","GO:BP","learning",18198,3103,"GO:0007611"
"query_1",TRUE,1.06841059281819e-24,508,1784,132,0.0739910313901345,0.259842519685039,"GO:0051493","GO:BP","regulation of cytoskeleton organization",18198,14203,"GO:0007010, GO:0033043"
"query_1",TRUE,1.09096435942287e-24,246,1784,85,0.0476457399103139,0.345528455284553,"GO:0097485","GO:BP","neuron projection guidance",18198,19215,"GO:0031175, GO:0048812"
"query_1",TRUE,1.09096435942287e-24,246,1784,85,0.0476457399103139,0.345528455284553,"GO:0007411","GO:BP","axon guidance",18198,2940,"GO:0007409, GO:0097485"
"query_1",TRUE,1.09096435942287e-24,79,1784,46,0.0257847533632287,0.582278481012658,"GO:0097061","GO:BP","dendritic spine organization",18198,19003,"GO:0099173, GO:0106027"
"query_1",TRUE,1.34841124614243e-24,1291,1784,247,0.138452914798206,0.19132455460883,"GO:0006468","GO:BP","protein phosphorylation",18198,2231,"GO:0016310, GO:0036211"
"query_1",TRUE,2.81341078879149e-24,244,1784,84,0.047085201793722,0.344262295081967,"GO:0060560","GO:BP","developmental growth involved in morphogenesis",18198,15215,"GO:0009653, GO:0048589"
"query_1",TRUE,4.02610447860956e-24,653,1784,154,0.086322869955157,0.23583460949464,"GO:0048589","GO:BP","developmental growth",18198,13285,"GO:0032502, GO:0040007"
"query_1",TRUE,7.34452519315001e-24,599,1784,145,0.0812780269058296,0.242070116861436,"GO:0072657","GO:BP","protein localization to membrane",18198,17996,"GO:0008104, GO:0051668"
"query_1",TRUE,7.88358187291303e-24,452,1784,121,0.0678251121076233,0.267699115044248,"GO:0007015","GO:BP","actin filament organization",18198,2655,"GO:0030036, GO:0097435"
"query_1",TRUE,9.34645075549643e-24,194,1784,73,0.0409192825112108,0.376288659793814,"GO:0031503","GO:BP","protein-containing complex localization",18198,7447,"GO:0051179"
"query_1",TRUE,1.11202934575148e-23,204,1784,75,0.0420403587443946,0.367647058823529,"GO:0006836","GO:BP","neurotransmitter transport",18198,2535,"GO:0006810"
"query_1",TRUE,1.36202516090969e-23,239,1784,82,0.0459641255605381,0.343096234309623,"GO:0050769","GO:BP","positive regulation of neurogenesis",18198,13672,"GO:0010720, GO:0022008, GO:0050767, GO:0051962"
"query_1",TRUE,1.64653039572568e-23,510,1784,130,0.0728699551569507,0.254901960784314,"GO:0090066","GO:BP","regulation of anatomical structure size",18198,18517,"GO:0065008"
"query_1",TRUE,1.72266105593307e-23,191,1784,72,0.0403587443946188,0.37696335078534,"GO:0018105","GO:BP","peptidyl-serine phosphorylation",18198,5413,"GO:0006468, GO:0018209"
"query_1",TRUE,3.34205188327912e-23,1455,1784,265,0.148542600896861,0.18213058419244,"GO:0016477","GO:BP","cell migration",18198,5292,"GO:0048870"
"query_1",TRUE,4.5345737473238e-23,503,1784,128,0.0717488789237668,0.254473161033797,"GO:0044089","GO:BP","positive regulation of cellular component biogenesis",18198,11274,"GO:0044085, GO:0044087, GO:0048522"
"query_1",TRUE,4.67627357514966e-23,597,1784,143,0.0801569506726457,0.239530988274707,"GO:0071417","GO:BP","cellular response to organonitrogen compound",18198,17169,"GO:0010243, GO:0071310, GO:0071495, GO:1901699"
"query_1",TRUE,5.09455977856686e-23,301,1784,93,0.0521300448430493,0.308970099667774,"GO:0051056","GO:BP","regulation of small GTPase mediated signal transduction",18198,13905,"GO:0007264, GO:1902531"
"query_1",TRUE,5.77467258683556e-23,1746,1784,302,0.169282511210762,0.172966781214204,"GO:0065009","GO:BP","regulation of molecular function",18198,16386,"GO:0065007"
"query_1",TRUE,1.01092284641939e-22,827,1784,177,0.0992152466367713,0.214026602176542,"GO:0097435","GO:BP","supramolecular fiber organization",18198,19199,"GO:0016043"
"query_1",TRUE,1.14586833894315e-22,1722,1784,298,0.167040358744395,0.173054587688734,"GO:0023056","GO:BP","positive regulation of signaling",18198,6878,"GO:0023051, GO:0023052, GO:0048518"
"query_1",TRUE,1.20927806589512e-22,56,1784,37,0.0207399103139013,0.660714285714286,"GO:0060997","GO:BP","dendritic spine morphogenesis",18198,15600,"GO:0031175, GO:0048812, GO:0048813, GO:0060996, GO:0097061"
"query_1",TRUE,1.49653061338632e-22,378,1784,106,0.0594170403587444,0.28042328042328,"GO:1902903","GO:BP","regulation of supramolecular fiber organization",18198,23167,"GO:0051128, GO:0097435"
"query_1",TRUE,1.61000070883696e-22,160,1784,64,0.0358744394618834,0.4,"GO:0050806","GO:BP","positive regulation of synaptic transmission",18198,13701,"GO:0007268, GO:0010647, GO:0023056, GO:0050804"
"query_1",TRUE,1.70225498508484e-22,1517,1784,271,0.151905829596413,0.178642056690837,"GO:0016310","GO:BP","phosphorylation",18198,5261,"GO:0006796"
"query_1",TRUE,2.09351872647646e-22,986,1784,199,0.111547085201794,0.201825557809331,"GO:0034220","GO:BP","monoatomic ion transmembrane transport",18198,8793,"GO:0006811, GO:0055085"
"query_1",TRUE,2.1100176261702e-22,203,1784,73,0.0409192825112108,0.359605911330049,"GO:0018209","GO:BP","peptidyl-serine modification",18198,5472,"GO:0018193"
"query_1",TRUE,2.71435956379472e-22,981,1784,198,0.110986547085202,0.201834862385321,"GO:0060341","GO:BP","regulation of cellular localization",18198,15019,"GO:0032879, GO:0050794, GO:0051641"
"query_1",TRUE,3.04649210682667e-22,209,1784,74,0.0414798206278027,0.354066985645933,"GO:1901888","GO:BP","regulation of cell junction assembly",18198,22366,"GO:0034329, GO:0044087, GO:0051128"
"query_1",TRUE,4.00530204560417e-22,1720,1784,296,0.165919282511211,0.172093023255814,"GO:0010647","GO:BP","positive regulation of cell communication",18198,4343,"GO:0007154, GO:0010646, GO:0048522"
"query_1",TRUE,5.39565466121778e-22,241,1784,80,0.0448430493273543,0.33195020746888,"GO:0022604","GO:BP","regulation of cell morphogenesis",18198,6849,"GO:0000902, GO:0022603"
"query_1",TRUE,7.29136560989526e-22,58,1784,37,0.0207399103139013,0.637931034482759,"GO:0060998","GO:BP","regulation of dendritic spine development",18198,15601,"GO:0050793, GO:0060996"
"query_1",TRUE,8.68313515782328e-22,1396,1784,253,0.141816143497758,0.181232091690544,"GO:0071495","GO:BP","cellular response to endogenous stimulus",18198,17229,"GO:0009719"
"query_1",TRUE,9.1417125963117e-22,920,1784,188,0.105381165919283,0.204347826086957,"GO:0040007","GO:BP","growth",18198,10236,"GO:0008150"
"query_1",TRUE,9.55409908482506e-22,1558,1784,274,0.153587443946188,0.17586649550706,"GO:0065003","GO:BP","protein-containing complex assembly",18198,16381,"GO:0022607, GO:0043933"
"query_1",TRUE,5.0413737165821e-21,1019,1784,200,0.112107623318386,0.196270853778214,"GO:1901698","GO:BP","response to nitrogen compound",18198,22185,"GO:0042221"
"query_1",TRUE,5.71109429851998e-21,112,1784,51,0.0285874439461883,0.455357142857143,"GO:0051963","GO:BP","regulation of synapse assembly",18198,14487,"GO:0007416, GO:0050807, GO:1901888"
"query_1",TRUE,5.8987219731988e-21,878,1784,180,0.100896860986547,0.20501138952164,"GO:0032880","GO:BP","regulation of protein localization",18198,8156,"GO:0008104, GO:0060341"
"query_1",TRUE,6.66002758965899e-21,707,1784,155,0.0868834080717489,0.219236209335219,"GO:0051129","GO:BP","negative regulation of cellular component organization",18198,13954,"GO:0016043, GO:0048523, GO:0051128"
"query_1",TRUE,1.07819990101156e-20,1852,1784,308,0.172645739910314,0.166306695464363,"GO:0071705","GO:BP","nitrogen compound transport",18198,17375,"GO:0006810"
"query_1",TRUE,1.89159256879594e-20,371,1784,101,0.0566143497757848,0.272237196765499,"GO:0032970","GO:BP","regulation of actin filament-based process",18198,8233,"GO:0030029, GO:0050794"
"query_1",TRUE,2.0847516399546e-20,518,1784,125,0.070067264573991,0.241312741312741,"GO:0060627","GO:BP","regulation of vesicle-mediated transport",18198,15276,"GO:0016192, GO:0050794, GO:0051049"
"query_1",TRUE,3.44333714768331e-20,50,1784,33,0.0184977578475336,0.66,"GO:0007215","GO:BP","glutamate receptor signaling pathway",18198,2802,"GO:0007166"
"query_1",TRUE,4.24201281627985e-20,1661,1784,282,0.158071748878924,0.169777242624925,"GO:0045184","GO:BP","establishment of protein localization",18198,11702,"GO:0008104, GO:0051234"
"query_1",TRUE,4.7072646406161e-20,96,1784,46,0.0257847533632287,0.479166666666667,"GO:0016079","GO:BP","synaptic vesicle exocytosis",18198,5167,"GO:0007269, GO:0045055, GO:0051649, GO:0099003, GO:0099504, GO:0099643"
"query_1",TRUE,8.47933563098759e-20,711,1784,153,0.085762331838565,0.215189873417722,"GO:0018193","GO:BP","peptidyl-amino acid modification",18198,5457,"GO:0036211"
"query_1",TRUE,1.69489459342948e-19,492,1784,119,0.0667040358744395,0.241869918699187,"GO:0016049","GO:BP","cell growth",18198,5141,"GO:0009987, GO:0040007"
"query_1",TRUE,2.26133008809141e-19,330,1784,92,0.0515695067264574,0.278787878787879,"GO:0032956","GO:BP","regulation of actin cytoskeleton organization",18198,8220,"GO:0030036, GO:0032970, GO:0051493"
"query_1",TRUE,2.31905432092053e-19,1383,1784,244,0.13677130044843,0.176428054953001,"GO:0015031","GO:BP","protein transport",18198,4854,"GO:0045184, GO:0071702, GO:0071705"
"query_1",TRUE,2.60948266598889e-19,830,1784,169,0.0947309417040359,0.203614457831325,"GO:0060284","GO:BP","regulation of cell development",18198,14966,"GO:0045595, GO:0048468"
"query_1",TRUE,2.67005098384917e-19,1658,1784,279,0.156390134529148,0.168275030156815,"GO:0048870","GO:BP","cell motility",18198,13538,"GO:0009987"
"query_1",TRUE,3.37077420129501e-19,157,1784,59,0.0330717488789238,0.375796178343949,"GO:0010976","GO:BP","positive regulation of neuron projection development",18198,4610,"GO:0010975, GO:0031175, GO:0031346"
"query_1",TRUE,3.8348062581916e-19,940,1784,184,0.103139013452915,0.195744680851064,"GO:0010243","GO:BP","response to organonitrogen compound",18198,4060,"GO:0010033, GO:1901698"
"query_1",TRUE,4.03649284647862e-19,876,1784,175,0.0980941704035874,0.199771689497717,"GO:0098660","GO:BP","inorganic ion transmembrane transport",18198,19358,"GO:0055085"
"query_1",TRUE,4.91941286183146e-19,807,1784,165,0.0924887892376682,0.204460966542751,"GO:0098655","GO:BP","monoatomic cation transmembrane transport",18198,19353,"GO:0006812, GO:0034220"
"query_1",TRUE,5.62196940126907e-19,122,1784,51,0.0285874439461883,0.418032786885246,"GO:0048675","GO:BP","axon extension",18198,13358,"GO:0007409, GO:1990138"
"query_1",TRUE,6.16534058183285e-19,193,1784,66,0.0369955156950673,0.341968911917098,"GO:0008361","GO:BP","regulation of cell size",18198,3215,"GO:0032535"
"query_1",TRUE,8.3080325218278e-19,179,1784,63,0.0353139013452915,0.35195530726257,"GO:0001764","GO:BP","neuron migration",18198,435,"GO:0016477, GO:0048699"
"query_1",TRUE,1.03953365195647e-18,98,1784,45,0.0252242152466368,0.459183673469388,"GO:0050773","GO:BP","regulation of dendrite development",18198,13676,"GO:0010975, GO:0016358, GO:0050793"
"query_1",TRUE,1.20332472229593e-18,786,1784,161,0.0902466367713004,0.204834605597964,"GO:0098662","GO:BP","inorganic cation transmembrane transport",18198,19360,"GO:0098660"
"query_1",TRUE,1.35983080653381e-18,42,1784,29,0.0162556053811659,0.69047619047619,"GO:0061001","GO:BP","regulation of dendritic spine morphogenesis",18198,15604,"GO:0010975, GO:0022603, GO:0060997, GO:0099175"
"query_1",TRUE,1.8851335790039e-18,443,1784,109,0.0610986547085202,0.246049661399549,"GO:0034762","GO:BP","regulation of transmembrane transport",18198,9033,"GO:0050794, GO:0051049, GO:0055085"
